ident,type,name,iso_country,iata_code,coordinates
LETO,medium_airport,Torrejón Airport,ES,TOJ,"-3.4458699226379395, 40.496700286865234"
LFAT,medium_airport,Le Touquet-Côte d'Opale Airport,FR,LTQ,"1.6205899715423584, 50.517398834228516"
LFBD,large_airport,Bordeaux-Mérignac Airport,FR,BOD,"-0.715556025505, 44.828300476100004"
LFBE,medium_airport,Bergerac-Roumanière Airport,FR,EGC,"0.5186110138893127, 44.82529830932617"
LFBG,medium_airport,Cognac-Châteaubernard (BA 709) Air Base,FR,CNG,"-0.3174999952316284, 45.65829849243164"
LFBH,medium_airport,La Rochelle-Île de Ré Airport,FR,LRH,"-1.1952799558639526, 46.17919921875"
LFBK,medium_airport,Montluçon – Guéret  Airport,FR,MCU,"2.363960027694702, 46.222599029541016"
LFBN,medium_airport,Niort-Souché Airport,FR,NIT,"-0.394529, 46.313477"
LFBP,medium_airport,Pau Pyrénées Airport,FR,PUF,"-0.41861099004745483, 43.380001068115234"
LFBT,medium_airport,Tarbes-Lourdes-Pyrénées Airport,FR,LDE,"-0.006438999902456999, 43.1786994934082"
LFBU,medium_airport,Angoulême-Brie-Champniers Airport,FR,ANG,"0.22145600616931915, 45.72919845581055"
LFBX,medium_airport,Périgueux-Bassillac Airport,FR,PGX,"0.815555989742279, 45.19810104370117"
LFCI,medium_airport,Albi-Le Séquestre Airport,FR,LBI,"2.1130599975585938, 43.91389846801758"
LFCY,medium_airport,Royan-Médis Airport,FR,RYN,"-0.9725000262260437, 45.62810134887695"
LFEY,medium_airport,Île d'Yeu Airport,FR,IDY,"-2.3911099433898926, 46.71860122680664"
LFHO,medium_airport,Aubenas-Ardèche Méridionale Airport,FR,OBS,"4.372192, 44.544203"
LFKJ,medium_airport,Ajaccio-Napoléon Bonaparte Airport,FR,AJA,"8.8029203414917, 41.92359924316406"
LFLB,medium_airport,Chambéry-Savoie Airport,FR,CMF,"5.880229949951172, 45.638099670410156"
LFLL,large_airport,Lyon Saint-Exupéry Airport,FR,LYS,"5.081111, 45.725556"
LFLS,medium_airport,Grenoble-Isère Airport,FR,GNB,"5.32937, 45.3629"
LFLX,medium_airport,"Châteauroux-Déols ""Marcel Dassault"" Airport",FR,CHR,"1.721111, 46.860278"
LFMH,medium_airport,Saint-Étienne–Bouthéon Airport,FR,EBU,"4.296390056610107, 45.54059982299805"
LFMN,large_airport,Nice-Côte d'Azur Airport,FR,NCE,"7.215869903560001, 43.6584014893"
LFMP,medium_airport,Perpignan-Rivesaltes (Llabanère) Airport,FR,PGF,"2.8706700801849365, 42.74039840698242"
LFMT,medium_airport,Montpellier-Méditerranée Airport,FR,MPL,"3.96301007270813, 43.57619857788086"
LFMU,medium_airport,Béziers-Vias Airport,FR,BZR,"3.3538999557495117, 43.32350158691406"
LFOB,medium_airport,Paris Beauvais Tillé Airport,FR,BVA,"2.1127800941467285, 49.45439910888672"
LFOE,medium_airport,Évreux-Fauville (BA 105) Air Base,FR,EVX,"1.2198599576950073, 49.02870178222656"
LFOJ,medium_airport,Orléans-Bricy (BA 123) Air Base,FR,ORE,"1.7605600357100002, 47.9878005981"
LFOK,medium_airport,Châlons-Vatry Airport,FR,XCR,"4.206111111, 48.7733333333"
LFPT,medium_airport,Aerodrome de Pontoise - Cormeilles en Vexin,FR,POX,"2.040833, 49.096667"
LFPV,medium_airport,Villacoublay-Vélizy (BA 107) Air Base,FR,VIY,"2.1916667, 48.7741667"
LFQJ,medium_airport,Maubeuge-Élesmes Airport,FR,XME,"4.033120155334473, 50.31050109863281"
LFQV,medium_airport,Charleville-Mézières Airport,FR,XCZ,"4.647079944610596, 49.78390121459961"
LFRO,medium_airport,Lannion-Côte de Granit Airport,FR,LAI,"-3.47166, 48.754398"
LFSG,medium_airport,Épinal-Mirecourt Airport,FR,EPL,"6.06998, 48.325001"
LFTH,medium_airport,Toulon-Hyères Airport,FR,TLN,"6.14602994919, 43.0973014832"
LFTW,medium_airport,Nîmes-Alès-Camargue Airport,FR,FNI,"4.4163498878479, 43.75740051269531"
LHPP,medium_airport,Pécs-Pogány Airport,HU,PEV,"18.240996, 45.990898"
LHSM,medium_airport,Hévíz-Balaton Airport,HU,SOB,"17.159084, 46.686391"
LHTA,medium_airport,Taszár Air Base,HU,TZR,"17.917499542236328, 46.39310073852539"
LIBD,large_airport,Bari Karol Wojtyła Airport,IT,BRI,"16.760599, 41.138901"
LIBR,medium_airport,Brindisi-Salento Airport,IT,BDS,"17.947001, 40.6576"
LICJ,large_airport,Falcone-Borsellino Airport,IT,PMO,"13.091, 38.175999"
LIET,medium_airport,Tortolì Airport,IT,TTB,"9.68298, 39.9188"
LIPK,medium_airport,Forlì Airport,IT,FRL,"12.0701, 44.194801"
LIPQ,medium_airport,Trieste–Friuli Venezia Giulia Airport,IT,TRS,"13.4722, 45.827499"
LIRA,large_airport,Ciampino – G. B. Pastine International Airport,IT,CIA,"12.5949, 41.7994"
LIRF,large_airport,Leonardo da Vinci – Fiumicino Airport,IT,FCO,"12.2388889, 41.8002778"
LIRZ,medium_airport,Perugia San Francesco d'Assisi – Umbria International Airport,IT,PEG,"12.5132, 43.095901"
LJLJ,large_airport,Ljubljana Jože Pučnik Airport,SI,LJU,"14.4576, 46.223701"
LKMT,medium_airport,Ostrava Leoš Janáček Airport,CZ,OSR,"18.111099243164062, 49.6963005065918"
LKPO,medium_airport,Přerov Air Base,CZ,PRV,"17.404699325561523, 49.42580032348633"
LKPR,large_airport,Václav Havel Airport Prague,CZ,PRG,"14.26, 50.1008"
LKTB,medium_airport,Brno–Tuřany Airport,CZ,BRQ,"16.694400787353516, 49.15129852294922"
LOWL,medium_airport,Linz Hörsching Airport,AT,LNZ,"14.1875, 48.2332"
LPBG,medium_airport,Bragança Airport,PT,BGC,"-6.70713, 41.8578"
LPPD,large_airport,João Paulo II Airport,PT,PDL,"-25.6979007721, 37.7411994934"
LPPM,medium_airport,Portimão Airport,PT,PRM,"-8.58396, 37.1493"
LPPR,large_airport,Francisco de Sá Carneiro Airport,PT,OPO,"-8.68138980865, 41.2481002808"
LPSJ,medium_airport,São Jorge Airport,PT,SJZ,"-28.1758, 38.665501"
LRBC,medium_airport,Bacău Airport,RO,BCM,"26.91029930114746, 46.52190017700195"
LRBM,medium_airport,Maramureș International Airport,RO,BAY,"23.467252, 47.660598"
LRBS,medium_airport,Băneasa International Airport,RO,BBU,"26.102100372314453, 44.50320053100586"
LRCK,medium_airport,Mihail Kogălniceanu International Airport,RO,CND,"28.488300323486328, 44.36220169067383"
LRCS,medium_airport,Caransebeș Airport,RO,CSB,"22.253299713134766, 45.41999816894531"
LRIA,medium_airport,Iași Airport,RO,IAS,"27.6205997467041, 47.17850112915039"
LROP,large_airport,Henri Coandă International Airport,RO,OTP,"26.085, 44.5711111"
LRTM,medium_airport,Transilvania Târgu Mureș International Airport,RO,TGM,"24.412500381469727, 46.46770095825195"
LRTR,medium_airport,Timișoara Traian Vuia Airport,RO,TSR,"21.337900161743164, 45.809898376464844"
LSZH,large_airport,Zürich Airport,CH,ZRH,"8.54917, 47.464699"
LTBU,medium_airport,Tekirdağ Çorlu Airport,TR,TEQ,"27.919099807739258, 41.13819885253906"
LUBL,medium_airport,Bălți International Airport,MD,BZY,"27.777222, 47.843056"
LUKK,medium_airport,Chișinău International Airport,MD,KIV,"28.930999755859375, 46.92770004272461"
LZIB,large_airport,M. R. Štefánik Airport,SK,BTS,"17.21269989013672, 48.17020034790039"
LZKZ,medium_airport,Košice Airport,SK,KSC,"21.241100311279297, 48.66310119628906"
LZPP,medium_airport,Piešťany Airport,SK,PZY,"17.828399658203125, 48.62519836425781"
LZSL,medium_airport,Sliač Airport,SK,SLD,"19.13409996032715, 48.63779830932617"
LZZI,medium_airport,Žilina Airport,SK,ILZ,"18.6135005951, 49.231498718299996"
RMU,medium_airport,Región de Murcia International Airport,ES,RMU,"-1.125, 37.803"
