ident,type,name,iso_country,iata_code,coordinates
ESOH,medium_airport,Hagfors Airport,SE,HFS,"13.578900337219238, 60.02009963989258"
ESOK,medium_airport,Karlstad Airport,SE,KSD,"13.337400436400001, 59.444698333699996"
ESOW,medium_airport,Stockholm Västerås Airport,SE,VST,"16.63360023498535, 59.58940124511719"
ESPA,large_airport,Luleå Airport,SE,LLA,"22.121999740601, 65.543800354004"
ESSA,large_airport,Stockholm-Arlanda Airport,SE,ARN,"17.918600082397, 59.651901245117"
ESSB,medium_airport,Stockholm-Bromma Airport,SE,BMA,"17.941699981689453, 59.354400634765625"
ESSD,medium_airport,Borlange Airport,SE,BLE,"15.515199661254883, 60.422000885009766"
ESSK,medium_airport,Gävle Sandviken Airport,SE,GVX,"16.951400756835938, 60.593299865722656"
ESSL,medium_airport,Linköping City Airport,SE,LPI,"15.680500030500001, 58.4062004089"
ESSP,medium_airport,Norrköping Airport,SE,NRK,"16.250600814819336, 58.586299896240234"
ESST,medium_airport,Torsby Airport,SE,TYF,"12.991299629199998, 60.1576004028"
ESSU,medium_airport,Eskilstuna Airport,SE,EKT,"16.70840072631836, 59.35110092163086"
ESSV,medium_airport,Visby Airport,SE,VBY,"18.346200942993, 57.662799835205"
ESTA,medium_airport,Ängelholm-Helsingborg Airport,SE,AGH,"12.847100257873535, 56.29610061645508"
ESUD,medium_airport,Storuman Airport,SE,SQO,"17.69659996032715, 64.96089935302734"
ESUP,medium_airport,Pajala Airport,SE,PJA,"23.068899154663086, 67.24559783935547"
ESUT,medium_airport,Hemavan Airport,SE,HMV,"15.0828, 65.806099"
ETAD,medium_airport,Spangdahlem Air Base,DE,SPM,"6.69250011444, 49.9726982117"
ETAR,large_airport,Ramstein Air Base,DE,RMS,"7.600279808044434, 49.4369010925293"
ETHF,medium_airport,Fritzlar Army Airfield,DE,FRZ,"9.286, 51.1146"
ETMN,medium_airport,Nordholz Naval Airbase,DE,FCN,"8.658499717709999, 53.7677001953"
ETNG,medium_airport,Geilenkirchen Air Base,DE,GKE,"6.04242, 50.9608"
ETNL,medium_airport,Rostock-Laage Airport,DE,RLG,"12.278300285299999, 53.9182014465"
ETNS,medium_airport,Schleswig Air Base,DE,WBG,"9.51633, 54.459301"
ETOU,medium_airport,Wiesbaden Army Airfield,DE,WIE,"8.325400352478027, 50.049800872802734"
ETSI,medium_airport,Ingolstadt Manching Airport,DE,IGS,"11.534000396728516, 48.7156982421875"
EVDA,medium_airport,Daugavpils Intrenational Airport,LV,DGP,"26.6650009155, 55.944721221900004"
EVLA,medium_airport,Liepāja International Airport,LV,LPX,"21.096900939941406, 56.51750183105469"
EVRA,large_airport,Riga International Airport,LV,RIX,"23.971099853515625, 56.92359924316406"
EVVA,medium_airport,Ventspils International Airport,LV,VNT,"21.5442008972, 57.35779953"
EYKA,medium_airport,Kaunas International Airport,LT,KUN,"24.084800720214844, 54.96390151977539"
EYPA,medium_airport,Palanga International Airport,LT,PLQ,"21.093900680541992, 55.973201751708984"
EYPP,medium_airport,Panevėžys Air Base,LT,PNV,"24.460800170898438, 55.729400634765625"
EYSA,medium_airport,Šiauliai International Airport,LT,SQQ,"23.395000457763672, 55.89390182495117"
EYVI,large_airport,Vilnius International Airport,LT,VNO,"25.285801, 54.634102"
GB-OUK,medium_airport,Outer Skerries Airport,GB,OUK,"-0.75, 60.4252"
GCFV,medium_airport,Fuerteventura Airport,ES,FUE,"-13.863800048828125, 28.452699661254883"
GCHI,medium_airport,Hierro Airport,ES,VDE,"-17.887100219726562, 27.814800262451172"
GCLA,large_airport,La Palma Airport,ES,SPC,"-17.7556, 28.626499"
GCLP,large_airport,Gran Canaria Airport,ES,LPA,"-15.38659954071045, 27.931900024414062"
GCRR,medium_airport,Lanzarote Airport,ES,ACE,"-13.6052, 28.945499"
GCTS,large_airport,Tenerife South Airport,ES,TFS,"-16.5725002289, 28.044500351"
GCXO,large_airport,Tenerife Norte Airport,ES,TFN,"-16.3414993286, 28.4827003479"
GEML,medium_airport,Melilla Airport,ES,MLN,"-2.9562599659, 35.279800415"
LATI,large_airport,Tirana International Airport Mother Teresa,AL,TIA,"19.7206001282, 41.4146995544"
LBBG,large_airport,Burgas Airport,BG,BOJ,"27.515199661254883, 42.56959915161133"
LBGO,medium_airport,Gorna Oryahovitsa Airport,BG,GOZ,"25.712900161743164, 43.15140151977539"
LBPD,medium_airport,Plovdiv International Airport,BG,PDV,"24.8508, 42.067799"
LBSF,large_airport,Sofia Airport,BG,SOF,"23.411436080932617, 42.696693420410156"
LBWN,large_airport,Varna Airport,BG,VAR,"27.8251, 43.232101"
LCRA,large_airport,RAF Akrotiri,GB,AKT,"32.9879, 34.590401"
LDDU,medium_airport,Dubrovnik Airport,HR,DBV,"18.268199920654297, 42.5614013671875"
LDOS,medium_airport,Osijek Airport,HR,OSI,"18.810199737548828, 45.46269989013672"
LDPL,medium_airport,Pula Airport,HR,PUY,"13.922200202941895, 44.89350128173828"
LDRI,medium_airport,Rijeka Airport,HR,RJK,"14.570300102233887, 45.21689987182617"
LDSB,medium_airport,Bol Airport,HR,BWK,"16.67970085144043, 43.285701751708984"
LDSP,medium_airport,Split Airport,HR,SPU,"16.29800033569336, 43.53889846801758"
LDZA,large_airport,Zagreb Airport,HR,ZAG,"16.0687999725, 45.7429008484"
LDZD,medium_airport,Zadar Airport,HR,ZAD,"15.3467, 44.108299"
LEAB,medium_airport,Albacete-Los Llanos Airport,ES,ABC,"-1.8635200262099998, 38.9485015869"
LEAL,large_airport,Alicante International Airport,ES,ALC,"-0.5581560134887695, 38.28219985961914"
LEAM,medium_airport,Almería International Airport,ES,LEI,"-2.3701000213623047, 36.84389877319336"
LEAS,medium_airport,Asturias Airport,ES,OVD,"-6.0346198081970215, 43.5635986328125"
LEBA,medium_airport,Córdoba Airport,ES,ODB,"-4.848879814147949, 37.84199905395508"
LEBB,medium_airport,Bilbao Airport,ES,BIO,"-2.9106099605560303, 43.30110168457031"
LEBG,medium_airport,Burgos Airport,ES,RGS,"-3.62076, 42.357601"
LEBL,large_airport,Barcelona International Airport,ES,BCN,"2.07846, 41.2971"
LEBZ,medium_airport,Badajoz Airport,ES,BJZ,"-6.8213300704956055, 38.891300201416016"
LECH,medium_airport,Castellón-Costa Azahar Airport,ES,CDT,"0.073333, 40.213889"
LECO,medium_airport,A Coruña Airport,ES,LCG,"-8.37726, 43.302101"
LECU,medium_airport,Cuatro Vientos Airport,ES,ECV,"-3.78514, 40.370701"
LEDA,medium_airport,Lleida-Alguaire Airport,ES,ILD,"0.535023, 41.728185"
LEGE,medium_airport,Girona Airport,ES,GRO,"2.7605500221, 41.901000977"
LEGR,medium_airport,Federico Garcia Lorca Airport,ES,GRX,"-3.777359962463379, 37.18870162963867"
LEIB,medium_airport,Ibiza Airport,ES,IBZ,"1.3731199502899998, 38.872898101800004"
LEJR,medium_airport,Jerez Airport,ES,XRY,"-6.060110092163086, 36.744598388671875"
LELC,medium_airport,San Javier Airport,ES,MJV,"-0.8123890161514282, 37.775001525878906"
LELN,medium_airport,Leon Airport,ES,LEN,"-5.65556001663208, 42.5890007019043"
LEMD,large_airport,Adolfo Suárez Madrid-Barajas Airport,ES,MAD,"-3.56264, 40.471926"
LEMG,large_airport,Málaga Airport,ES,AGP,"-4.499110221862793, 36.67490005493164"
LEMH,medium_airport,Menorca Airport,ES,MAH,"4.218649864196777, 39.86259841918945"
LEMO,medium_airport,Moron Air Base,ES,OZP,"-5.615940093994141, 37.17490005493164"
LEPA,large_airport,Palma De Mallorca Airport,ES,PMI,"2.73881006241, 39.551700592"
LEPP,medium_airport,Pamplona Airport,ES,PNA,"-1.6463299989700317, 42.77000045776367"
LERS,medium_airport,Reus Air Base,ES,REU,"1.1671700477600098, 41.14739990234375"
LERT,medium_airport,Rota Naval Station Airport,ES,ROZ,"-6.34946012497, 36.645198822"
LESA,medium_airport,Salamanca Airport,ES,SLM,"-5.501989841461182, 40.95209884643555"
LESO,medium_airport,San Sebastian Airport,ES,EAS,"-1.7906099557876587, 43.35649871826172"
LEST,large_airport,Santiago de Compostela Airport,ES,SCQ,"-8.415140151977539, 42.89630126953125"
LETL,medium_airport,Teruel Airport,ES,TEV,"-1.2183, 40.403"
LETO,medium_airport,Torrejón Airport,ES,TOJ,"-3.4458699226379395, 40.496700286865234"
LEVC,medium_airport,Valencia Airport,ES,VLC,"-0.481625, 39.4893"
LEVD,medium_airport,Valladolid Airport,ES,VLL,"-4.85194015503, 41.7061004639"
LEVT,medium_airport,Vitoria/Foronda Airport,ES,VIT,"-2.7244699001312256, 42.8828010559082"
LEVX,medium_airport,Vigo Airport,ES,VGO,"-8.62677001953125, 42.2318000793457"
LEXJ,medium_airport,Santander Airport,ES,SDR,"-3.82000994682312, 43.427101135253906"
LEZG,medium_airport,Zaragoza Air Base,ES,ZAZ,"-1.0415500402450562, 41.66619873046875"
LEZL,medium_airport,Sevilla Airport,ES,SVQ,"-5.8931097984313965, 37.417999267578125"
LFAC,medium_airport,Calais-Dunkerque Airport,FR,CQF,"1.954759955406189, 50.962100982666016"
LFAT,medium_airport,Le Touquet-Côte d'Opale Airport,FR,LTQ,"1.6205899715423584, 50.517398834228516"
LFAV,medium_airport,Valenciennes-Denain Airport,FR,XVS,"3.46126, 50.325802"
LFBA,medium_airport,Agen-La Garenne Airport,FR,AGF,"0.5905560255050659, 44.17470169067383"
LFBD,large_airport,Bordeaux-Mérignac Airport,FR,BOD,"-0.715556025505, 44.828300476100004"
LFBE,medium_airport,Bergerac-Roumanière Airport,FR,EGC,"0.5186110138893127, 44.82529830932617"
LFBG,medium_airport,Cognac-Châteaubernard (BA 709) Air Base,FR,CNG,"-0.3174999952316284, 45.65829849243164"
LFBH,medium_airport,La Rochelle-Île de Ré Airport,FR,LRH,"-1.1952799558639526, 46.17919921875"
LFBI,medium_airport,Poitiers-Biard Airport,FR,PIS,"0.30666598677635193, 46.58769989013672"
LFBK,medium_airport,Montluçon – Guéret  Airport,FR,MCU,"2.363960027694702, 46.222599029541016"
LFBL,medium_airport,Limoges Airport,FR,LIG,"1.1794400215148926, 45.86280059814453"
LFBN,medium_airport,Niort-Souché Airport,FR,NIT,"-0.394529, 46.313477"
LFBO,large_airport,Toulouse-Blagnac Airport,FR,TLS,"1.36382, 43.629101"
LFBP,medium_airport,Pau Pyrénées Airport,FR,PUF,"-0.41861099004745483, 43.380001068115234"
LFBT,medium_airport,Tarbes-Lourdes-Pyrénées Airport,FR,LDE,"-0.006438999902456999, 43.1786994934082"
LFBU,medium_airport,Angoulême-Brie-Champniers Airport,FR,ANG,"0.22145600616931915, 45.72919845581055"
LFBX,medium_airport,Périgueux-Bassillac Airport,FR,PGX,"0.815555989742279, 45.19810104370117"
LFBZ,medium_airport,Biarritz-Anglet-Bayonne Airport,FR,BIQ,"-1.5311111, 43.4683333"
LFCC,medium_airport,Cahors-Lalbenque Airport,FR,ZAO,"1.4752800464630127, 44.35139846801758"
LFCI,medium_airport,Albi-Le Séquestre Airport,FR,LBI,"2.1130599975585938, 43.91389846801758"
LFCK,medium_airport,Castres-Mazamet Airport,FR,DCM,"2.289180040359497, 43.55630111694336"
LFCR,medium_airport,Rodez-Marcillac Airport,FR,RDZ,"2.4826700687408447, 44.407901763916016"
LFCY,medium_airport,Royan-Médis Airport,FR,RYN,"-0.9725000262260437, 45.62810134887695"
LFDN,medium_airport,Rochefort-Saint-Agnant (BA 721) Airport,FR,RCO,"-0.9830560088157654, 45.88779830932617"
LFEY,medium_airport,Île d'Yeu Airport,FR,IDY,"-2.3911099433898926, 46.71860122680664"
LFGA,medium_airport,Colmar-Houssen Airport,FR,CMR,"7.359010219573975, 48.109901428222656"
LFGJ,medium_airport,Dole-Tavaux Airport,FR,DLE,"5.435063, 47.042686"
LFHO,medium_airport,Aubenas-Ardèche Méridionale Airport,FR,OBS,"4.372192, 44.544203"
LFHP,medium_airport,Le Puy-Loudes Airport,FR,LPY,"3.762890100479126, 45.0806999206543"
LFJL,medium_airport,Metz-Nancy-Lorraine Airport,FR,ETZ,"6.25131988525, 48.9821014404"
LFJR,medium_airport,Angers-Loire Airport,FR,ANE,"-0.312222, 47.560299"
LFKB,medium_airport,Bastia-Poretta Airport,FR,BIA,"9.48373031616211, 42.55270004272461"
LFKC,medium_airport,Calvi-Sainte-Catherine Airport,FR,CLY,"8.7930556, 42.5244444"
LFKF,medium_airport,Figari Sud-Corse Airport,FR,FSC,"9.097780227661133, 41.5005989074707"
LFKJ,medium_airport,Ajaccio-Napoléon Bonaparte Airport,FR,AJA,"8.8029203414917, 41.92359924316406"
LFKS,medium_airport,Solenzara (BA 126) Air Base,FR,SOZ,"9.406000137329102, 41.924400329589844"
LFLA,medium_airport,Auxerre-Branches Airport,FR,AUF,"3.497109889984131, 47.85020065307617"
LFLB,medium_airport,Chambéry-Savoie Airport,FR,CMF,"5.880229949951172, 45.638099670410156"
LFLC,medium_airport,Clermont-Ferrand Auvergne Airport,FR,CFE,"3.1691699028, 45.7867012024"
LFLD,medium_airport,Bourges Airport,FR,BOU,"2.3702800273895264, 47.058101654052734"
LFLI,medium_airport,Annemasse Airport,FR,QNJ,"6.268390178680001, 46.1920013428"
LFLL,large_airport,Lyon Saint-Exupéry Airport,FR,LYS,"5.081111, 45.725556"
LFLN,medium_airport,Saint-Yan Airport,FR,SYT,"4.0132598876953125, 46.412498474121094"
LFLO,medium_airport,Roanne-Renaison Airport,FR,RNE,"4.001389980316162, 46.05830001831055"
LFLP,medium_airport,Annecy-Haute-Savoie-Mont Blanc Airport,FR,NCY,"6.1063889, 45.9308333"
LFLS,medium_airport,Grenoble-Isère Airport,FR,GNB,"5.32937, 45.3629"
LFLU,medium_airport,Valence-Chabeuil Airport,FR,VAF,"4.9699, 44.9216"
LFLV,medium_airport,Vichy-Charmeil Airport,FR,VHY,"3.4037399291992188, 46.169700622558594"
LFLW,medium_airport,Aurillac Airport,FR,AUR,"2.4219400882720947, 44.89139938354492"
LFLX,medium_airport,"Châteauroux-Déols ""Marcel Dassault"" Airport",FR,CHR,"1.721111, 46.860278"
LFLY,medium_airport,Lyon-Bron Airport,FR,LYN,"4.944270133972168, 45.72719955444336"
LFMD,medium_airport,Cannes-Mandelieu Airport,FR,CEQ,"6.95348, 43.542"
LFMH,medium_airport,Saint-Étienne–Bouthéon Airport,FR,EBU,"4.296390056610107, 45.54059982299805"
LFMK,medium_airport,Carcassonne Airport,FR,CCF,"2.3063199520111084, 43.215999603271484"
LFML,large_airport,Marseille Provence Airport,FR,MRS,"5.22142410278, 43.439271922"
LFMN,large_airport,Nice-Côte d'Azur Airport,FR,NCE,"7.215869903560001, 43.6584014893"
LFMO,medium_airport,Orange-Caritat (BA 115) Air Base,FR,XOG,"4.866720199584961, 44.140499114990234"
LFMP,medium_airport,Perpignan-Rivesaltes (Llabanère) Airport,FR,PGF,"2.8706700801849365, 42.74039840698242"
LFMQ,medium_airport,Le Castellet Airport,FR,CTT,"5.785190105438232, 43.252498626708984"
LFMT,medium_airport,Montpellier-Méditerranée Airport,FR,MPL,"3.96301007270813, 43.57619857788086"
LFMU,medium_airport,Béziers-Vias Airport,FR,BZR,"3.3538999557495117, 43.32350158691406"
LFMV,medium_airport,Avignon-Caumont Airport,FR,AVN,"4.901830196380615, 43.90729904174805"
LFNB,medium_airport,Mende-Brenoux Airfield,FR,MEN,"3.53282, 44.502102"
LFOB,medium_airport,Paris Beauvais Tillé Airport,FR,BVA,"2.1127800941467285, 49.45439910888672"
LFOE,medium_airport,Évreux-Fauville (BA 105) Air Base,FR,EVX,"1.2198599576950073, 49.02870178222656"
LFOH,medium_airport,Le Havre Octeville Airport,FR,LEH,"0.08805599808692932, 49.53390121459961"
LFOJ,medium_airport,Orléans-Bricy (BA 123) Air Base,FR,ORE,"1.7605600357100002, 47.9878005981"
LFOK,medium_airport,Châlons-Vatry Airport,FR,XCR,"4.206111111, 48.7733333333"
LFOP,medium_airport,Rouen Airport,FR,URO,"1.1748000383377075, 49.38420104980469"
LFOT,medium_airport,Tours-Val-de-Loire Airport,FR,TUF,"0.727605998516, 47.4322013855"
LFOU,medium_airport,Cholet Le Pontreau Airport,FR,CET,"-0.8770639896392822, 47.08209991455078"
LFOV,medium_airport,Laval-Entrammes Airport,FR,LVA,"-0.7429860234260559, 48.03139877319336"
LFPB,medium_airport,Paris-Le Bourget Airport,FR,LBG,"2.441390037536621, 48.969398498535156"
LFPC,medium_airport,Creil Air Base,FR,CSF,"2.5191400051116943, 49.253501892089844"
LFPG,large_airport,Charles de Gaulle International Airport,FR,CDG,"2.55, 49.012798"
LFPN,medium_airport,Toussus-le-Noble Airport,FR,TNF,"2.1061899662017822, 48.75189971923828"
LFPO,large_airport,Paris-Orly Airport,FR,ORY,"2.3794444, 48.7233333"
LFPT,medium_airport,Aerodrome de Pontoise - Cormeilles en Vexin,FR,POX,"2.040833, 49.096667"
LFPV,medium_airport,Villacoublay-Vélizy (BA 107) Air Base,FR,VIY,"2.1916667, 48.7741667"
LFQG,medium_airport,Nevers-Fourchambault Airport,FR,NVS,"3.1133298873901367, 47.002601623535156"
LFQJ,medium_airport,Maubeuge-Élesmes Airport,FR,XME,"4.033120155334473, 50.31050109863281"
LFQQ,medium_airport,Lille-Lesquin Airport,FR,LIL,"3.086886, 50.563332"
LFQT,medium_airport,Merville-Calonne Airport,FR,HZB,"2.642240047454834, 50.61840057373047"
LFQV,medium_airport,Charleville-Mézières Airport,FR,XCZ,"4.647079944610596, 49.78390121459961"
LFRB,medium_airport,Brest Bretagne Airport,FR,BES,"-4.418540000915527, 48.447898864746094"
LFRC,medium_airport,Cherbourg-Maupertus Airport,FR,CER,"-1.4702800512313843, 49.65010070800781"
LFRD,medium_airport,Dinard-Pleurtuit-Saint-Malo Airport,FR,DNR,"-2.0799601078033447, 48.58769989013672"
LFRE,medium_airport,La Baule-Escoublac Airport,FR,LBY,"-2.3463900089263916, 47.289398193359375"
LFRF,medium_airport,Granville Airport,FR,GFR,"-1.564170002937317, 48.88309860229492"
LFRG,medium_airport,Deauville-Saint-Gatien Airport,FR,DOL,"0.154305994511, 49.3652992249"
LFRH,medium_airport,Lorient South Brittany (Bretagne Sud) Airport,FR,LRT,"-3.440000057220459, 47.76060104370117"
LFRI,medium_airport,La Roche-sur-Yon Airport,FR,EDM,"-1.3786300420761108, 46.701900482177734"
LFRJ,medium_airport,Landivisiau Air Base,FR,LDV,"-4.151639938354492, 48.53030014038086"
LFRK,medium_airport,Caen-Carpiquet Airport,FR,CFR,"-0.44999998807907104, 49.173301696777344"
LFRM,medium_airport,Le Mans-Arnage Airport,FR,LME,"0.20166699588298798, 47.94860076904297"
LFRN,medium_airport,Rennes-Saint-Jacques Airport,FR,RNS,"-1.73479, 48.0695"
LFRO,medium_airport,Lannion-Côte de Granit Airport,FR,LAI,"-3.47166, 48.754398"
LFRQ,medium_airport,Quimper-Cornouaille Airport,FR,UIP,"-4.167789936065674, 47.974998474121094"
LFRS,medium_airport,Nantes Atlantique Airport,FR,NTE,"-1.61073005199, 47.153198242200006"
LFRT,medium_airport,Saint-Brieuc-Armor Airport,FR,SBK,"-2.85444, 48.5378"
LFRU,medium_airport,Morlaix-Ploujean Airport,FR,MXN,"-3.81577992439, 48.6031990051"
LFRV,medium_airport,Vannes-Meucon Airport,FR,VNE,"-2.718559980392456, 47.72330093383789"
LFRZ,medium_airport,Saint-Nazaire-Montoir Airport,FR,SNR,"-2.1566667, 47.3105556"
LFSB,large_airport,EuroAirport Basel-Mulhouse-Freiburg Airport,FR,BSL,"7.529167, 47.59"
LFSD,medium_airport,Dijon-Bourgogne Airport,FR,DIJ,"5.09, 47.268902"
LFSG,medium_airport,Épinal-Mirecourt Airport,FR,EPL,"6.06998, 48.325001"
LFSL,medium_airport,Brive-Souillac,FR,BVE,"1.485556, 45.039722"
LFSN,medium_airport,Nancy-Essey Airport,FR,ENC,"6.230460166931152, 48.692100524902344"
LFST,medium_airport,Strasbourg Airport,FR,SXB,"7.628230094909668, 48.538299560546875"
LFTH,medium_airport,Toulon-Hyères Airport,FR,TLN,"6.14602994919, 43.0973014832"
LFTW,medium_airport,Nîmes-Alès-Camargue Airport,FR,FNI,"4.4163498878479, 43.75740051269531"
LGAD,medium_airport,Andravida Air Base,GR,PYR,"21.292601, 37.9207"
LGAL,medium_airport,Dimokritos Airport,GR,AXD,"25.956300735473633, 40.855899810791016"
LGAV,large_airport,Eleftherios Venizelos International Airport,GR,ATH,"23.9444999695, 37.9364013672"
LGBL,medium_airport,Nea Anchialos Airport,GR,VOL,"22.794300079345703, 39.219600677490234"
LGHI,medium_airport,Chios Island National Airport,GR,JKH,"26.140600204467773, 38.34320068359375"
LGIO,medium_airport,Ioannina Airport,GR,IOA,"20.822500228881836, 39.6963996887207"
LGIR,large_airport,Heraklion International Nikos Kazantzakis Airport,GR,HER,"25.180299758900002, 35.3396987915"
LGKF,medium_airport,Kefallinia Airport,GR,EFL,"20.500499725341797, 38.12009811401367"
LGKL,medium_airport,Kalamata Airport,GR,KLX,"22.02549934387207, 37.06829833984375"
LGKO,medium_airport,Kos Airport,GR,KGS,"27.091699600219727, 36.79330062866211"
LGKP,medium_airport,Karpathos Airport,GR,AOK,"27.145999908447266, 35.4213981628418"
LGKR,medium_airport,Ioannis Kapodistrias International Airport,GR,CFU,"19.911699295043945, 39.601898193359375"
LGKV,medium_airport,Alexander the Great International Airport,GR,KVA,"24.619199752807617, 40.913299560546875"
LGKZ,medium_airport,Filippos Airport,GR,KZI,"21.84079933166504, 40.28609848022461"
LGMK,medium_airport,Mikonos Airport,GR,JMK,"25.348100662231445, 37.43510055541992"
LGMT,medium_airport,Mytilene International Airport,GR,MJT,"26.5983009338, 39.0567016602"
LGPZ,medium_airport,Aktion National Airport,GR,PVK,"20.765300750732422, 38.925498962402344"
LGRP,medium_airport,Diagoras Airport,GR,RHO,"28.086200714111328, 36.405399322509766"
LGRX,medium_airport,Araxos Airport,GR,GPA,"21.4256, 38.1511"
LGSA,medium_airport,Chania International Airport,GR,CHQ,"24.149700164794922, 35.531700134277344"
LGSK,medium_airport,Skiathos Island National Airport,GR,JSI,"23.503700256347656, 39.177101135253906"
LGSM,medium_airport,Samos Airport,GR,SMI,"26.911699295043945, 37.689998626708984"
LGSR,medium_airport,Santorini Airport,GR,JTR,"25.479299545288086, 36.399200439453125"
LGST,medium_airport,Sitia Airport,GR,JSH,"26.101299285888672, 35.21609878540039"
LGTS,large_airport,Thessaloniki Macedonia International Airport,GR,SKG,"22.97089958190918, 40.51969909667969"
LGZA,medium_airport,"Zakynthos International Airport ""Dionysios Solomos""",GR,ZTH,"20.8843, 37.7509"
LHBP,large_airport,Budapest Liszt Ferenc International Airport,HU,BUD,"19.261093, 47.42976"
LHDC,medium_airport,Debrecen International Airport,HU,DEB,"21.615299224853516, 47.48889923095703"
LHPP,medium_airport,Pécs-Pogány Airport,HU,PEV,"18.240996, 45.990898"
LHSM,medium_airport,Hévíz-Balaton Airport,HU,SOB,"17.159084, 46.686391"
LHTA,medium_airport,Taszár Air Base,HU,TZR,"17.917499542236328, 46.39310073852539"
LIBC,medium_airport,Crotone Airport,IT,CRV,"17.0802, 38.9972"
LIBD,large_airport,Bari Karol Wojtyła Airport,IT,BRI,"16.760599, 41.138901"
LIBF,medium_airport,"Foggia ""Gino Lisa"" Airport",IT,FOG,"15.535, 41.432899"
LIBG,medium_airport,"Taranto-Grottaglie ""Marcello Arlotta"" Airport",IT,TAR,"17.4032, 40.517502"
LIBN,medium_airport,Lecce Galatina Air Base,IT,LCC,"18.133301, 40.239201"
LIBP,medium_airport,Pescara International Airport,IT,PSR,"14.1811, 42.431702"
LIBR,medium_airport,Brindisi-Salento Airport,IT,BDS,"17.947001, 40.6576"
LICA,medium_airport,Lamezia Terme Airport,IT,SUF,"16.2423, 38.905399"
LICB,medium_airport,Comiso Airport,IT,CIY,"14.607182, 36.994601"
LICC,large_airport,Catania-Fontanarossa Airport,IT,CTA,"15.0664, 37.466801"
LICD,medium_airport,Lampedusa Airport,IT,LMP,"12.6181, 35.497898"
LICG,medium_airport,Pantelleria Airport,IT,PNL,"11.9689, 36.816502"
LICJ,large_airport,Falcone-Borsellino Airport,IT,PMO,"13.091, 38.175999"
LICR,medium_airport,Reggio Calabria Airport,IT,REG,"15.6516, 38.071201"
LICT,medium_airport,Vincenzo Florio Airport Trapani-Birgi,IT,TPS,"12.488, 37.9114"
LICZ,medium_airport,Sigonella Navy Air Base,IT,NSY,"14.9224, 37.401699"
LIEA,medium_airport,Alghero-Fertilia Airport,IT,AHO,"8.29077, 40.632099"
LIED,medium_airport,Decimomannu Air Base,IT,DCI,"8.97248, 39.354198"
LIEE,large_airport,Cagliari Elmas Airport,IT,CAG,"9.05428, 39.251499"
LIEO,medium_airport,Olbia Costa Smeralda Airport,IT,OLB,"9.51763, 40.898701"
LIET,medium_airport,Tortolì Airport,IT,TTB,"9.68298, 39.9188"
LIMC,large_airport,Malpensa International Airport,IT,MXP,"8.72811, 45.6306"
LIME,large_airport,Milan Bergamo Airport,IT,BGY,"9.70417, 45.673901"
LIMF,large_airport,Turin Airport,IT,TRN,"7.64963, 45.200802"
LIMG,medium_airport,Villanova D'Albenga International Airport,IT,ALL,"8.12743, 44.050598"
LIMJ,large_airport,Genoa Cristoforo Colombo Airport,IT,GOA,"8.8375, 44.4133"
LIML,large_airport,Milano Linate Airport,IT,LIN,"9.27674, 45.445099"
LIMP,medium_airport,Parma Airport,IT,PMF,"10.2964, 44.824501"
LIMW,medium_airport,Aosta Airport,IT,AOT,"7.36872, 45.738499"
LIMZ,medium_airport,Cuneo International Airport,IT,CUF,"7.62322, 44.547001"
LIPA,medium_airport,Aviano Air Base,IT,AVB,"12.596503, 46.031898"
LIPB,medium_airport,Bolzano Airport,IT,BZO,"11.3264, 46.460201"
LIPE,large_airport,Bologna Guglielmo Marconi Airport,IT,BLQ,"11.2887, 44.5354"
LIPH,large_airport,Treviso-Sant'Angelo Airport,IT,TSF,"12.1944, 45.648399"
LIPK,medium_airport,Forlì Airport,IT,FRL,"12.0701, 44.194801"
LIPO,medium_airport,Brescia Airport,IT,VBS,"10.3306, 45.428902"
LIPQ,medium_airport,Trieste–Friuli Venezia Giulia Airport,IT,TRS,"13.4722, 45.827499"
LIPR,medium_airport,Federico Fellini International Airport,IT,RMI,"12.6117, 44.020302"
LIPU,medium_airport,Padova Airport,IT,QPA,"11.8479, 45.395802"
LIPX,large_airport,Verona Villafranca Airport,IT,VRN,"10.8885, 45.395699"
LIPY,medium_airport,Ancona Falconara Airport,IT,AOI,"13.3623, 43.616299"
LIPZ,large_airport,Venice Marco Polo Airport,IT,VCE,"12.3519, 45.505299"
LIQS,medium_airport,Siena-Ampugnano Airport,IT,SAY,"11.255, 43.256302"
LIQW,medium_airport,Sarzana-Luni Air Base,IT,QLP,"9.98795, 44.088001"
LIRA,large_airport,Ciampino – G. B. Pastine International Airport,IT,CIA,"12.5949, 41.7994"
LIRF,large_airport,Leonardo da Vinci – Fiumicino Airport,IT,FCO,"12.2388889, 41.8002778"
LIRI,medium_airport,Salerno Costa d'Amalfi Airport,IT,QSR,"14.9113, 40.620399"
LIRJ,medium_airport,Marina Di Campo Airport,IT,EBA,"10.2394, 42.7603"
LIRL,medium_airport,Latina Air Base,IT,QLT,"12.909, 41.5424"
LIRN,large_airport,Naples International Airport,IT,NAP,"14.2908, 40.886002"
LIRP,large_airport,Pisa International Airport,IT,PSA,"10.3927, 43.683899"
LIRQ,medium_airport,Peretola Airport,IT,FLR,"11.2051, 43.810001"
LIRS,medium_airport,Grosseto Air Base,IT,GRS,"11.0719, 42.759701"
LIRZ,medium_airport,Perugia San Francesco d'Assisi – Umbria International Airport,IT,PEG,"12.5132, 43.095901"
